id,laminate_id,finish_number,finish_name,collection,variant,sku_code,grain,product_type,manufacturer,region,texture_code,texture_name,texture_premium,grade_code,thickness_in,thickness_mm,size_4x8,size_5x8,size_4x10,size_4x12,size_5x12,size_5x10,texture_description,grade_description,notes
39,17,6320,Black Fusion,180fx,,,0,Laminate,Formica,NA,46,Etchings,1,32,.029,.7,1,0,0,0,0,1,A softly polished and etched surface dappled with highlights from tiny fractures and fissures reminiscent to those found in natural granite and stone. Recommended for horizontal and vertical interior applications. Non directional texture.,"Fire-Rated Vertical Grade (VGF). Intended for use in horizontal and vertical interior applications which require low flame spread ratings to conform to building codes. Classified by Underwriters' Laboratories, Inc. and meets most military and marine specifications. Slightly thinner than Grade 50. Available on selected Fire-Rated Laminate items.",MTO quantity rules apply. Available on select colors that come standard in the finish/texture
40,17,6320,Black Fusion,180fx,,,0,Laminate,Formica,NA,46,Etchings,1,50,.045,1.1,1,0,0,0,0,1,A softly polished and etched surface dappled with highlights from tiny fractures and fissures reminiscent to those found in natural granite and stone. Recommended for horizontal and vertical interior applications. Non directional texture.,"Fire-Rated General Purpose Grade (HGF). Intended for use in horizontal and vertical interior applications which require low flame spread ratings in order to conform to building codes. Classified by Underwriters' Laboratories, Inc. and meets most military and marine specifications. Available on selected Fire-Rated Laminate items.",8-sheet minimum. Available on select colors that come standard in the finish/texture
41,18,7402,Pietra Grafite,180fx,,,0,Laminate,Formica,NA,11,SatinTouch,1,12,.035,.9,1,0,0,0,1,0,A smooth-to-the-touch texture with a silky feel and sheen. Recommended for horizontal and vertical applications. Available exclusively on select 180fx décors.,"Horizontal Postforming Grade (HGP). Outside radius to 5/8"" (15.9mm) and cove radius to 3/16"" (4.8mm). Postformable to permit bending on suitable commercial postforming equipment. Use whenever forming is desired for decorative or functional purposes in interior applications. Optimum postforming temperature is 325°F (163°C).",
42,19,7403,Nero Marquina,180fx,,,0,Laminate,Formica,NA,43,Artisan,0,12,.035,.9,1,0,0,0,1,0,"A look reminiscent of the hand-rubbed, oiled texture used by craftsmen to produce fine wood surfaces. Recommended for horizontal or vertical interior application. Available on selected colors. Non directional texture.","Horizontal Postforming Grade (HGP). Outside radius to 5/8"" (15.9mm) and cove radius to 3/16"" (4.8mm). Postformable to permit bending on suitable commercial postforming equipment. Use whenever forming is desired for decorative or functional purposes in interior applications. Optimum postforming temperature is 325°F (163°C).",
43,19,7403,Nero Marquina,180fx,,,0,Laminate,Formica,NA,11,SatinTouch,1,12,.035,.9,1,0,0,0,1,0,A smooth-to-the-touch texture with a silky feel and sheen. Recommended for horizontal and vertical applications. Available exclusively on select 180fx décors.,"Horizontal Postforming Grade (HGP). Outside radius to 5/8"" (15.9mm) and cove radius to 3/16"" (4.8mm). Postformable to permit bending on suitable commercial postforming equipment. Use whenever forming is desired for decorative or functional purposes in interior applications. Optimum postforming temperature is 325°F (163°C).",
44,19,7403,Nero Marquina,180fx,,,0,Laminate,Formica,NA,43,Artisan,0,32,.029,.7,1,0,0,0,0,1,"A look reminiscent of the hand-rubbed, oiled texture used by craftsmen to produce fine wood surfaces. Recommended for horizontal or vertical interior application. Available on selected colors. Non directional texture.","Fire-Rated Vertical Grade (VGF). Intended for use in horizontal and vertical interior applications which require low flame spread ratings to conform to building codes. Classified by Underwriters' Laboratories, Inc. and meets most military and marine specifications. Slightly thinner than Grade 50. Available on selected Fire-Rated Laminate items.",MTO quantity rules apply. Available on select colors that come standard in the finish/texture
45,19,7403,Nero Marquina,180fx,,,0,Laminate,Formica,NA,43,Artisan,0,50,.045,1.1,1,0,0,0,0,1,"A look reminiscent of the hand-rubbed, oiled texture used by craftsmen to produce fine wood surfaces. Recommended for horizontal or vertical interior application. Available on selected colors. Non directional texture.","Fire-Rated General Purpose Grade (HGF). Intended for use in horizontal and vertical interior applications which require low flame spread ratings in order to conform to building codes. Classified by Underwriters' Laboratories, Inc. and meets most military and marine specifications. Available on selected Fire-Rated Laminate items.",8-sheet minimum. Available on select colors that come standard in the finish/texture
46,20,7404,Neapolitan Stone,180fx,,,0,Laminate,Formica,NA,11,SatinTouch,1,12,.035,.9,1,0,0,0,1,0,A smooth-to-the-touch texture with a silky feel and sheen. Recommended for horizontal and vertical applications. Available exclusively on select 180fx décors.,"Horizontal Postforming Grade (HGP). Outside radius to 5/8"" (15.9mm) and cove radius to 3/16"" (4.8mm). Postformable to permit bending on suitable commercial postforming equipment. Use whenever forming is desired for decorative or functional purposes in interior applications. Optimum postforming temperature is 325°F (163°C).",
47,21,9284,Classic Crystal Granite,180fx,,,0,Laminate,Formica,NA,34,Scovato,1,12,.035,.9,1,0,0,0,1,0,A light texture that is smooth to the touch with a low gloss visual. Recommended for horizontal and vertical interior applications. Non directional texture.,"Horizontal Postforming Grade (HGP). Outside radius to 5/8"" (15.9mm) and cove radius to 3/16"" (4.8mm). Postformable to permit bending on suitable commercial postforming equipment. Use whenever forming is desired for decorative or functional purposes in interior applications. Optimum postforming temperature is 325°F (163°C).",
48,21,9284,Classic Crystal Granite,180fx,,,0,Laminate,Formica,NA,34,Scovato,1,32,.029,.7,1,0,0,0,0,1,A light texture that is smooth to the touch with a low gloss visual. Recommended for horizontal and vertical interior applications. Non directional texture.,"Fire-Rated Vertical Grade (VGF). Intended for use in horizontal and vertical interior applications which require low flame spread ratings to conform to building codes. Classified by Underwriters' Laboratories, Inc. and meets most military and marine specifications. Slightly thinner than Grade 50. Available on selected Fire-Rated Laminate items.",MTO quantity rules apply. Available on select colors that come standard in the finish/texture
