id,finish_number,finish_name,collection,variant,sku_code,grain,product_type,manufacturer,region,availability_notes,texture_58,texture_90,texture_34,texture_43,texture_46,texture_BH,texture_ML,texture_NG,texture_PA,texture_PG,texture_PX,texture_26,texture_WR,texture_11,texture_DP,texture_MC,texture_SP,texture_42,grade_12,grade_20,grade_V4,grade_V5,grade_13,grade_CC,grade_C9,size_4x8,size_4x10,size_4x12,size_5x12,fire_rated_eligible,fire_rated_grade_32,fire_rated_grade_50,fire_rated_size_4x8,fire_rated_size_5x10,fire_rated_size_5x12,compact_available
1,3420,Dolce Vita,180fx,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
2,3422,Crema Mascarello,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3460,Calacatta Marble,180fx,,,0,Laminate,Formica,NA,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
4,3466,Antique Mascarello,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5,3476,Jet Sequoia,180fx,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
6,3546,River Gold,180fx,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
7,3547,Lapidus Brown,180fx,,,0,Laminate,Formica,NA,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
8,3700,White Alabaster,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9,3701,Manhattan Marble,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,3702,Mediterranean Marble,180fx,,,0,Laminate,Formica,NA,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
11,3703,Woodland Marble,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
12,3704,Marbled Gray,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
13,5014,White Painted Marble,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
14,5015,Black Painted Marble,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
15,5018,Calacatta Cava,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
16,6319,Caf̩ Azul,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
